Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected Joining Score (1-1000)
Madanapalle,43,Medium,Consultant,Senior-Level,10,1557669,1399430,PhD,"AWS, Docker, Kubernetes",Google Cloud Certified,89,9,Flexible,Yes,Offline,Cognizant,Consulting,Neutral,9,Low,1674856,218150,Average,Senior-Level,Data Analyst,Munger,No,Health Insurance,Excellent,Strong,Moderate,2024-12-20 14:11:33.008200,Ambiguous,369.8285333333333
Kolkata,7,Medium,Consultant,Lead,14,1326657,468803,Master's Degree,"JavaScript, React",Scrum Master,58,6,Flexible,Yes,Hybrid,HCL,Banking,Negative,5,High,2902370,486186,Below Average,Senior-Level,Data Analyst,Mumbai,No,Flexible Hours,Moderate,Strong,Moderate,2024-12-15 14:11:33.008200,Ambiguous,442.7456666666667
Mumbai,49,High,Software Engineer,Senior-Level,4,1679904,2326711,Diploma,"Python, SQL, ML",None,26,8,Day,No,Hybrid,HCL,Consulting,Neutral,3,Low,2906068,301909,Above Average,Senior-Level,Developer,Mumbai,No,Stock Options,Moderate,Weak,Low,2025-01-22 14:11:33.008200,Clear,278.8689333333333
Kolkata,17,Low,Analyst,Mid-Level,2,1361716,1207744,Master's Degree,"Java, Spring Boot",PMP,26,3,Flexible,No,Remote,Accenture,Banking,Neutral,7,Moderate,2035407,295913,Below Average,Senior-Level,Developer,Bangalore,Yes,Health Insurance,Excellent,Strong,Moderate,2024-12-13 14:11:33.008200,Ambiguous,283.8469
Delhi,32,Low,Consultant,Mid-Level,4,1737188,1148736,PhD,"JavaScript, React",PMP,78,13,Day,No,Hybrid,Infosys,IT Services,Neutral,6,High,883075,229073,Average,Mid-Level,Developer,Delhi,No,Stock Options,Limited,Weak,High,2024-12-20 14:11:33.008200,Clear,215.43583333333333
Madanapalle,24,High,Consultant,Mid-Level,12,1956321,1926318,Bachelor's Degree,"JavaScript, React",AWS Certified,71,13,Night,Yes,Remote,Infosys,IT Services,Negative,6,Moderate,2177310,490620,Average,Senior-Level,Manager,Bangalore,Yes,Stock Options,Moderate,Stable,High,2024-12-12 14:11:33.008200,Ambiguous,194.577
Delhi,32,Medium,Data Scientist,Lead,2,838645,1099539,Master's Degree,"Python, SQL, ML",AWS Certified,6,5,Night,No,Remote,Accenture,Healthcare,Negative,9,Moderate,727370,30156,Below Average,Mid-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Limited,Stable,Moderate,2024-12-27 14:11:33.008200,Ambiguous,100.24566666666666
Delhi,12,High,Analyst,Senior-Level,8,1871951,645404,Master's Degree,"Java, Spring Boot",Scrum Master,62,10,Flexible,Yes,Remote,Cognizant,IT Services,Positive,8,Moderate,1657427,226908,Above Average,Mid-Level,Developer,Kolkata,No,Health Insurance,Moderate,Weak,Low,2024-12-21 14:11:33.008200,Ambiguous,311.24756666666667
Darbhanga,45,High,Data Scientist,Senior-Level,3,1460248,1751099,Diploma,"Java, Spring Boot",AWS Certified,45,1,Day,Yes,Remote,Infosys,Healthcare,Negative,4,Moderate,2951733,453697,Average,Entry-Level,Developer,Chennai,No,Flexible Hours,Moderate,Stable,High,2024-12-14 14:11:33.008200,Clear,328.3911
Madanapalle,43,High,Analyst,Entry-Level,9,630817,417297,PhD,"AWS, Docker, Kubernetes",Scrum Master,62,11,Flexible,No,Remote,Accenture,Consulting,Neutral,5,High,2564533,154507,Average,Mid-Level,Developer,Munger,No,Stock Options,Excellent,Strong,Moderate,2025-01-09 14:11:33.008200,Clear,399.4844333333333
Delhi,5,Low,Data Scientist,Entry-Level,13,1994537,1188443,Master's Degree,"JavaScript, React",Google Cloud Certified,11,11,Flexible,Yes,Offline,Cognizant,IT Services,Neutral,0,Low,1233142,210722,Below Average,Mid-Level,Manager,Chennai,Yes,Flexible Hours,Excellent,Weak,Low,2025-01-15 14:11:33.008200,Ambiguous,201.10473333333334
Darbhanga,7,High,Consultant,Senior-Level,4,1938497,968302,Master's Degree,"Java, Spring Boot",Scrum Master,12,13,Day,Yes,Hybrid,Cognizant,Consulting,Positive,5,Moderate,678910,187408,Average,Senior-Level,Manager,Kolkata,Yes,Health Insurance,Limited,Weak,Low,2024-12-07 14:11:33.008200,Clear,108.63033333333334
Darbhanga,17,Low,Consultant,Senior-Level,13,1032303,2216030,Master's Degree,"Java, Spring Boot",AWS Certified,42,3,Flexible,No,Offline,TCS,Consulting,Negative,1,High,502416,439351,Average,Mid-Level,Data Analyst,Munger,Yes,Health Insurance,Excellent,Weak,High,2025-01-07 14:11:33.008200,Ambiguous,152.7472
Madanapalle,32,Low,Software Engineer,Senior-Level,6,920399,2329341,Master's Degree,"C++, Algorithms",Google Cloud Certified,16,1,Night,Yes,Remote,Cognizant,IT Services,Neutral,5,Moderate,1497034,83631,Above Average,Lead,Data Analyst,Chennai,No,Stock Options,Moderate,Stable,High,2025-01-24 14:11:33.008200,Clear,305.90113333333335
Bangalore,29,Low,Data Scientist,Lead,10,1164690,1627146,Bachelor's Degree,"C++, Algorithms",AWS Certified,62,9,Flexible,Yes,Hybrid,Infosys,Consulting,Positive,8,Low,1242653,310053,Above Average,Senior-Level,Data Analyst,Munger,Yes,Flexible Hours,Moderate,Stable,Low,2024-12-11 14:11:33.008200,Ambiguous,153.42176666666666
Pune,37,Medium,Project Manager,Senior-Level,5,706140,1958309,PhD,"Java, Spring Boot",Scrum Master,80,4,Day,No,Offline,Infosys,IT Services,Positive,7,High,2236517,79487,Above Average,Senior-Level,Developer,Bangalore,No,Flexible Hours,Limited,Strong,Low,2025-01-05 14:11:33.008200,Clear,330.55056666666667
Mumbai,42,Low,Software Engineer,Entry-Level,10,1417862,2374847,Diploma,"AWS, Docker, Kubernetes",None,35,14,Day,Yes,Offline,Accenture,IT Services,Neutral,8,High,751637,424684,Below Average,Senior-Level,Team Lead,Darbhanga,No,Stock Options,Limited,Strong,Low,2024-12-28 14:11:33.008200,Ambiguous,271.0545666666667
Pune,10,Low,Data Scientist,Lead,13,393269,1733572,Diploma,"Java, Spring Boot",PMP,84,6,Night,Yes,Remote,Accenture,IT Services,Neutral,9,Low,2924714,495825,Average,Entry-Level,Manager,Pune,No,Stock Options,Moderate,Weak,Moderate,2024-12-26 14:11:33.008200,Clear,357.49046666666663
Kolkata,48,Medium,Data Scientist,Senior-Level,1,558635,1842721,Bachelor's Degree,"Python, SQL, ML",AWS Certified,7,12,Day,No,Offline,Cognizant,Banking,Negative,7,High,1303282,319799,Below Average,Senior-Level,Developer,Munger,Yes,Flexible Hours,Excellent,Strong,High,2024-12-22 14:11:33.008200,Clear,197.44273333333334
Mumbai,49,Low,Software Engineer,Entry-Level,9,1422647,911603,PhD,"JavaScript, React",Scrum Master,68,0,Day,No,Offline,HCL,Consulting,Positive,2,Low,577946,437557,Average,Mid-Level,Developer,Kolkata,Yes,Health Insurance,Excellent,Stable,Low,2024-12-13 14:11:33.008200,Clear,131.26486666666665
Kolkata,36,High,Consultant,Lead,1,1799118,1015863,Master's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,89,14,Night,No,Offline,TCS,Retail,Neutral,7,High,1343652,252735,Average,Lead,Data Analyst,Bangalore,Yes,Health Insurance,Limited,Strong,High,2024-12-13 14:11:33.008200,Clear,152.7884
Delhi,49,High,Data Scientist,Senior-Level,8,1569671,907365,Bachelor's Degree,"Python, SQL, ML",AWS Certified,79,9,Flexible,No,Offline,HCL,IT Services,Positive,5,High,1480109,205254,Average,Senior-Level,Data Analyst,Pune,No,Stock Options,Limited,Stable,High,2025-01-25 14:11:33.008200,Ambiguous,241.33696666666668
Munger,25,Low,Consultant,Senior-Level,9,813317,1978608,PhD,"AWS, Docker, Kubernetes",AWS Certified,35,9,Night,Yes,Offline,Cognizant,Consulting,Negative,5,Low,1294576,61786,Above Average,Senior-Level,Developer,Bangalore,Yes,Flexible Hours,Moderate,Strong,High,2025-01-25 14:11:33.008200,Ambiguous,203.15253333333334
Madanapalle,20,Medium,Software Engineer,Senior-Level,9,1379227,1884209,Master's Degree,"Python, SQL, ML",PMP,27,6,Flexible,Yes,Remote,Cognizant,Healthcare,Neutral,5,Low,1264899,78304,Below Average,Lead,Manager,Madanapalle,Yes,Flexible Hours,Moderate,Stable,Low,2024-12-08 14:11:33.008200,Clear,172.1633
Mumbai,25,High,Consultant,Lead,1,370202,1422788,Bachelor's Degree,"JavaScript, React",Scrum Master,46,9,Night,No,Remote,HCL,IT Services,Negative,2,High,663503,375750,Below Average,Senior-Level,Manager,Hyderabad,No,Flexible Hours,Limited,Stable,Moderate,2025-01-22 14:11:33.008200,Ambiguous,262.11676666666665
Mumbai,15,Medium,Analyst,Entry-Level,2,1397353,1228791,PhD,"JavaScript, React",None,75,12,Flexible,Yes,Offline,TCS,IT Services,Positive,9,High,2616271,187586,Average,Entry-Level,Developer,Mumbai,No,Health Insurance,Moderate,Strong,Low,2024-12-20 14:11:33.008200,Clear,417.2090333333333
Delhi,41,Medium,Project Manager,Entry-Level,12,448066,1045194,Diploma,"C++, Algorithms",Google Cloud Certified,29,5,Night,Yes,Remote,HCL,Retail,Negative,0,Low,2718292,130938,Below Average,Mid-Level,Team Lead,Madanapalle,Yes,Health Insurance,Limited,Strong,High,2025-01-06 14:11:33.008200,Ambiguous,188.60973333333334
Bangalore,40,High,Data Scientist,Mid-Level,13,1153695,601260,Diploma,"Python, SQL, ML",Scrum Master,22,5,Flexible,No,Remote,Accenture,Banking,Negative,3,Low,2426393,437195,Above Average,Lead,Team Lead,Kolkata,No,Flexible Hours,Limited,Stable,Low,2025-01-25 14:11:33.008200,Clear,290.8797666666667
Darbhanga,39,Medium,Project Manager,Senior-Level,1,490706,2193795,PhD,"C++, Algorithms",Google Cloud Certified,15,11,Night,No,Hybrid,Infosys,Banking,Positive,9,High,731922,494103,Below Average,Lead,Manager,Delhi,Yes,Flexible Hours,Excellent,Weak,Low,2025-01-16 14:11:33.008200,Ambiguous,116.3974
Delhi,23,High,Consultant,Mid-Level,10,924446,1651775,Diploma,"Python, SQL, ML",AWS Certified,13,7,Flexible,Yes,Offline,Accenture,IT Services,Negative,5,High,2779897,353125,Average,Entry-Level,Data Analyst,Delhi,No,Stock Options,Limited,Strong,High,2024-12-20 14:11:33.008200,Ambiguous,376.6632333333333
Hyderabad,24,Medium,Data Scientist,Mid-Level,2,1097232,776794,PhD,"C++, Algorithms",PMP,73,7,Night,No,Remote,Infosys,Consulting,Positive,9,High,1694416,65107,Above Average,Mid-Level,Team Lead,Mumbai,No,Stock Options,Moderate,Stable,High,2024-12-11 14:11:33.008200,Clear,328.48053333333337
Darbhanga,22,High,Consultant,Entry-Level,10,1124255,1921466,Master's Degree,"JavaScript, React",PMP,70,5,Day,No,Remote,Cognizant,Healthcare,Neutral,1,Low,2385196,255191,Above Average,Entry-Level,Team Lead,Bangalore,Yes,Flexible Hours,Excellent,Strong,Low,2024-12-17 14:11:33.008200,Clear,285.5065333333333
Madanapalle,45,Low,Analyst,Lead,12,1674598,1182877,PhD,"AWS, Docker, Kubernetes",None,51,2,Flexible,No,Offline,TCS,Healthcare,Positive,6,High,1960121,142232,Average,Mid-Level,Data Analyst,Darbhanga,No,Flexible Hours,Excellent,Strong,Low,2025-01-15 14:11:33.008200,Clear,375.33736666666664
Darbhanga,18,High,Software Engineer,Lead,8,580852,1108521,Master's Degree,"C++, Algorithms",PMP,36,4,Night,Yes,Hybrid,HCL,Consulting,Positive,6,Moderate,2083959,360041,Below Average,Entry-Level,Team Lead,Kolkata,No,Health Insurance,Moderate,Strong,Low,2024-12-11 14:11:33.008200,Clear,393.4653
Bangalore,19,High,Data Scientist,Entry-Level,5,968179,1601700,Bachelor's Degree,"Python, SQL, ML",AWS Certified,28,1,Flexible,No,Offline,TCS,IT Services,Neutral,3,Low,843035,82577,Average,Senior-Level,Developer,Mumbai,No,Flexible Hours,Moderate,Strong,Low,2025-01-04 14:11:33.008200,Clear,350.1011666666667
Darbhanga,35,High,Analyst,Lead,12,888158,2004642,PhD,"Python, SQL, ML",None,66,14,Flexible,Yes,Hybrid,HCL,Healthcare,Positive,3,High,2435115,225375,Below Average,Entry-Level,Team Lead,Pune,Yes,Stock Options,Moderate,Strong,Moderate,2024-12-17 14:11:33.008200,Ambiguous,221.1705
Madanapalle,5,High,Analyst,Mid-Level,11,833571,2134339,Bachelor's Degree,"JavaScript, React",Scrum Master,14,13,Night,Yes,Offline,Accenture,Banking,Neutral,0,Low,2856419,414062,Below Average,Lead,Data Analyst,Pune,No,Health Insurance,Limited,Weak,Low,2024-12-11 14:11:33.008200,Clear,335.2139666666667
Bangalore,7,Medium,Data Scientist,Senior-Level,7,1165139,2372424,Diploma,"Python, SQL, ML",PMP,46,4,Flexible,Yes,Offline,Accenture,Consulting,Neutral,1,Moderate,2279466,270933,Above Average,Lead,Developer,Delhi,No,Stock Options,Excellent,Weak,Moderate,2025-01-24 14:11:33.008200,Ambiguous,381.98220000000003
Pune,20,Low,Consultant,Entry-Level,2,1772725,1736092,Master's Degree,"Java, Spring Boot",None,45,13,Night,No,Offline,HCL,Retail,Positive,8,Low,1310657,114180,Average,Lead,Team Lead,Hyderabad,Yes,Stock Options,Limited,Weak,High,2025-01-07 14:11:33.008200,Clear,103.68856666666667
Mumbai,27,High,Analyst,Senior-Level,8,1878638,1772236,PhD,"AWS, Docker, Kubernetes",AWS Certified,51,8,Day,No,Offline,TCS,IT Services,Negative,9,High,1406247,292068,Above Average,Entry-Level,Manager,Bangalore,Yes,Health Insurance,Limited,Stable,Moderate,2025-01-11 14:11:33.008200,Ambiguous,132.8749
Mumbai,15,Medium,Project Manager,Lead,11,1551703,2255546,Bachelor's Degree,"C++, Algorithms",Google Cloud Certified,18,9,Flexible,No,Hybrid,HCL,Consulting,Negative,7,Moderate,1089317,383337,Average,Lead,Developer,Delhi,No,Stock Options,Limited,Weak,High,2024-12-21 14:11:33.008200,Ambiguous,256.31056666666666
Kolkata,16,Low,Analyst,Senior-Level,6,1490631,1250350,Master's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,76,0,Day,No,Hybrid,Cognizant,Healthcare,Neutral,7,Moderate,758332,154954,Average,Lead,Developer,Darbhanga,No,Flexible Hours,Limited,Weak,Moderate,2024-12-25 14:11:33.008200,Clear,243.27773333333334
Pune,14,Low,Consultant,Lead,8,1969332,1332477,Master's Degree,"JavaScript, React",AWS Certified,20,9,Flexible,No,Remote,Accenture,IT Services,Negative,8,High,1151240,221346,Above Average,Senior-Level,Manager,Mumbai,No,Stock Options,Excellent,Stable,High,2024-12-28 14:11:33.008200,Clear,370.37466666666666
Pune,36,Low,Consultant,Lead,1,1104565,567647,Diploma,"C++, Algorithms",AWS Certified,63,4,Flexible,Yes,Offline,Cognizant,Banking,Negative,6,High,521292,489771,Average,Senior-Level,Manager,Munger,Yes,Health Insurance,Excellent,Weak,Low,2025-01-09 14:11:33.008200,Ambiguous,115.3764
Darbhanga,20,Low,Project Manager,Mid-Level,1,825069,835477,Diploma,"C++, Algorithms",Google Cloud Certified,36,11,Flexible,Yes,Hybrid,Accenture,IT Services,Positive,8,High,490570,11095,Average,Mid-Level,Team Lead,Darbhanga,No,Health Insurance,Limited,Strong,Moderate,2024-12-23 14:11:33.008200,Ambiguous,306.3523333333333
Mumbai,12,High,Analyst,Lead,12,414586,2083523,Master's Degree,"Java, Spring Boot",None,26,5,Night,Yes,Hybrid,Accenture,IT Services,Neutral,9,Low,2981692,376349,Below Average,Mid-Level,Team Lead,Munger,Yes,Health Insurance,Moderate,Weak,Moderate,2024-12-18 14:11:33.008200,Clear,205.38973333333334
Madanapalle,42,High,Consultant,Mid-Level,7,1798492,1857640,Master's Degree,"JavaScript, React",Google Cloud Certified,54,13,Day,No,Hybrid,Infosys,Banking,Neutral,1,Low,1395791,182055,Average,Mid-Level,Data Analyst,Bangalore,Yes,Stock Options,Excellent,Weak,High,2024-12-31 14:11:33.008200,Ambiguous,132.52636666666666
Chennai,16,Medium,Data Scientist,Mid-Level,8,589768,402352,PhD,"Python, SQL, ML",AWS Certified,28,10,Flexible,Yes,Offline,Cognizant,Banking,Positive,5,Low,2620943,24123,Average,Entry-Level,Data Analyst,Mumbai,No,Flexible Hours,Limited,Weak,High,2024-12-23 14:11:33.008200,Ambiguous,305.3647666666667
Chennai,28,Medium,Software Engineer,Mid-Level,13,831111,533004,Master's Degree,"Java, Spring Boot",PMP,19,6,Night,Yes,Remote,Cognizant,IT Services,Negative,2,High,1941121,496884,Above Average,Mid-Level,Developer,Pune,No,Health Insurance,Moderate,Strong,Moderate,2024-12-16 14:11:33.008200,Ambiguous,368.7040333333333
Bangalore,32,Medium,Software Engineer,Entry-Level,3,842777,1981420,PhD,"Java, Spring Boot",Scrum Master,24,8,Flexible,No,Hybrid,Infosys,Banking,Neutral,5,High,2360299,207687,Above Average,Entry-Level,Manager,Pune,Yes,Flexible Hours,Moderate,Strong,High,2025-01-03 14:11:33.008200,Ambiguous,224.6766333333333
Mumbai,12,Low,Software Engineer,Entry-Level,5,1336059,1186261,Master's Degree,"AWS, Docker, Kubernetes",PMP,69,5,Night,No,Offline,TCS,Consulting,Negative,2,Low,1284807,498409,Average,Entry-Level,Manager,Madanapalle,No,Health Insurance,Limited,Strong,Low,2024-12-24 14:11:33.008200,Ambiguous,348.8269
Mumbai,32,Low,Analyst,Lead,12,471033,450098,Diploma,"AWS, Docker, Kubernetes",PMP,62,4,Flexible,Yes,Hybrid,Cognizant,Banking,Neutral,7,Moderate,2488140,317422,Below Average,Mid-Level,Data Analyst,Pune,No,Flexible Hours,Excellent,Strong,Moderate,2024-12-24 14:11:33.008200,Ambiguous,418.938
Chennai,40,High,Project Manager,Mid-Level,1,1861456,526060,PhD,"AWS, Docker, Kubernetes",AWS Certified,35,11,Day,Yes,Hybrid,HCL,Banking,Neutral,3,Low,1819600,370055,Below Average,Mid-Level,Developer,Kolkata,Yes,Flexible Hours,Moderate,Stable,Low,2025-01-20 14:11:33.008200,Clear,150.65333333333334
Mumbai,30,Low,Consultant,Entry-Level,7,1639838,1636530,Bachelor's Degree,"Java, Spring Boot",Google Cloud Certified,1,6,Day,No,Remote,Infosys,IT Services,Neutral,9,Moderate,2859622,493506,Above Average,Entry-Level,Developer,Madanapalle,No,Flexible Hours,Excellent,Strong,Moderate,2025-01-07 14:11:33.008200,Clear,435.32073333333335
Darbhanga,12,Low,Data Scientist,Mid-Level,5,1448993,2174329,Diploma,"Python, SQL, ML",None,21,12,Flexible,No,Hybrid,Cognizant,Consulting,Neutral,5,High,2644055,61999,Average,Senior-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Excellent,Strong,Low,2024-12-20 14:11:33.008200,Clear,314.1351666666667
Hyderabad,32,Low,Data Scientist,Senior-Level,8,1430392,530544,PhD,"C++, Algorithms",PMP,15,0,Night,No,Hybrid,TCS,Retail,Negative,8,High,2386205,303297,Average,Lead,Data Analyst,Pune,No,Stock Options,Moderate,Strong,Moderate,2024-12-22 14:11:33.008200,Clear,375.54016666666666
Munger,32,Medium,Analyst,Senior-Level,13,575709,793574,PhD,"AWS, Docker, Kubernetes",Google Cloud Certified,17,10,Flexible,No,Offline,Cognizant,Retail,Negative,1,Low,2297459,290488,Below Average,Lead,Data Analyst,Delhi,Yes,Stock Options,Limited,Strong,High,2025-01-25 14:11:33.008200,Ambiguous,192.5819666666667
Pune,41,Medium,Software Engineer,Senior-Level,8,474023,1271808,Bachelor's Degree,"Python, SQL, ML",None,68,13,Night,Yes,Offline,Accenture,Healthcare,Negative,1,Low,445708,240849,Below Average,Lead,Team Lead,Hyderabad,Yes,Stock Options,Moderate,Stable,Moderate,2024-12-24 14:11:33.008200,Clear,102.85693333333333
Kolkata,45,High,Analyst,Lead,9,1177611,2072795,PhD,"JavaScript, React",PMP,53,4,Flexible,Yes,Remote,HCL,Banking,Negative,6,High,1924616,47656,Below Average,Senior-Level,Developer,Hyderabad,No,Flexible Hours,Moderate,Weak,Low,2024-12-22 14:11:33.008200,Ambiguous,254.15386666666666
Bangalore,40,Low,Project Manager,Mid-Level,7,847936,962060,Master's Degree,"AWS, Docker, Kubernetes",None,29,14,Night,No,Offline,Infosys,Banking,Positive,1,Low,1615442,211587,Above Average,Entry-Level,Developer,Kolkata,Yes,Health Insurance,Excellent,Weak,Moderate,2024-12-23 14:11:33.008200,Ambiguous,143.84806666666668
Hyderabad,31,Low,Project Manager,Senior-Level,11,743945,1507054,Bachelor's Degree,"C++, Algorithms",Google Cloud Certified,44,1,Day,Yes,Offline,Accenture,Consulting,Neutral,1,High,1770092,270587,Average,Mid-Level,Developer,Chennai,Yes,Flexible Hours,Limited,Strong,Low,2024-12-13 14:11:33.008200,Clear,177.00306666666665
Chennai,21,High,Consultant,Entry-Level,1,1390547,1906145,Diploma,"JavaScript, React",Scrum Master,18,3,Flexible,Yes,Remote,TCS,Retail,Neutral,3,High,2980309,273356,Above Average,Entry-Level,Data Analyst,Delhi,No,Health Insurance,Excellent,Strong,Low,2024-12-18 14:11:33.008200,Clear,457.34363333333334
Pune,13,Low,Consultant,Senior-Level,13,318658,1592931,Diploma,"JavaScript, React",Google Cloud Certified,86,6,Day,No,Hybrid,Accenture,Healthcare,Neutral,8,Moderate,2630844,130385,Average,Entry-Level,Data Analyst,Chennai,No,Flexible Hours,Moderate,Strong,Low,2025-01-09 14:11:33.008200,Ambiguous,421.6948
Mumbai,37,Low,Project Manager,Senior-Level,3,321253,2167858,Master's Degree,"C++, Algorithms",AWS Certified,33,4,Day,Yes,Remote,Accenture,Consulting,Positive,7,Low,2991318,150073,Above Average,Mid-Level,Data Analyst,Munger,No,Health Insurance,Limited,Weak,High,2024-12-16 14:11:33.008200,Clear,275.7106
Kolkata,24,Medium,Project Manager,Senior-Level,8,1805958,1094780,Diploma,"AWS, Docker, Kubernetes",None,12,11,Flexible,Yes,Offline,TCS,Banking,Negative,1,High,1357642,88784,Average,Senior-Level,Data Analyst,Delhi,Yes,Health Insurance,Limited,Weak,Moderate,2024-12-11 14:11:33.008200,Clear,97.25473333333333
Mumbai,17,High,Project Manager,Lead,3,479635,1271522,PhD,"Java, Spring Boot",Scrum Master,42,5,Flexible,Yes,Remote,Accenture,Retail,Neutral,7,Low,453024,370867,Below Average,Lead,Manager,Mumbai,Yes,Health Insurance,Limited,Strong,Low,2024-12-27 14:11:33.008200,Ambiguous,161.1008
Madanapalle,32,High,Analyst,Entry-Level,8,457462,2255227,PhD,"C++, Algorithms",None,61,1,Night,No,Hybrid,Infosys,Healthcare,Negative,3,Moderate,1851469,353288,Below Average,Lead,Data Analyst,Chennai,Yes,Flexible Hours,Limited,Weak,High,2024-12-09 14:11:33.008200,Ambiguous,97.71563333333333
Madanapalle,33,High,Project Manager,Mid-Level,1,1699384,1942247,Master's Degree,"C++, Algorithms",None,21,2,Night,No,Remote,Cognizant,IT Services,Negative,1,Moderate,1623759,439643,Below Average,Entry-Level,Team Lead,Kolkata,No,Stock Options,Limited,Stable,Low,2024-12-25 14:11:33.008200,Ambiguous,278.12530000000004
Kolkata,17,High,Data Scientist,Entry-Level,5,510097,577912,Diploma,"C++, Algorithms",PMP,51,6,Day,Yes,Offline,Accenture,Retail,Positive,9,Low,942112,41368,Above Average,Senior-Level,Manager,Kolkata,Yes,Flexible Hours,Moderate,Strong,Moderate,2025-01-20 14:11:33.008200,Ambiguous,207.40373333333332
Kolkata,39,Medium,Software Engineer,Mid-Level,4,928138,1002276,Diploma,"JavaScript, React",AWS Certified,51,10,Night,No,Offline,Infosys,Healthcare,Positive,6,Low,918534,211891,Below Average,Lead,Manager,Delhi,Yes,Flexible Hours,Moderate,Strong,High,2025-01-19 14:11:33.008200,Ambiguous,162.6178
Chennai,10,Medium,Project Manager,Lead,5,1250162,1900134,Master's Degree,"Python, SQL, ML",None,35,1,Night,No,Remote,Cognizant,Consulting,Negative,5,High,2332159,71160,Average,Senior-Level,Data Analyst,Madanapalle,No,Health Insurance,Moderate,Stable,Low,2025-01-10 14:11:33.008200,Ambiguous,377.7386333333333
Kolkata,22,Low,Software Engineer,Lead,8,962212,2105243,Bachelor's Degree,"Java, Spring Boot",Google Cloud Certified,72,11,Flexible,No,Hybrid,Cognizant,IT Services,Neutral,9,Moderate,448926,166926,Above Average,Mid-Level,Developer,Mumbai,Yes,Health Insurance,Excellent,Stable,Low,2024-12-12 14:11:33.008200,Clear,180.9642
Darbhanga,9,Low,Analyst,Lead,10,820498,480388,Diploma,"AWS, Docker, Kubernetes",Google Cloud Certified,18,5,Night,Yes,Remote,Accenture,Healthcare,Neutral,4,Moderate,1616508,282859,Average,Entry-Level,Data Analyst,Bangalore,No,Stock Options,Limited,Weak,Low,2024-12-20 14:11:33.008200,Clear,285.8836
Mumbai,29,Low,Software Engineer,Lead,14,1574634,639779,Bachelor's Degree,"AWS, Docker, Kubernetes",PMP,37,4,Day,Yes,Hybrid,Infosys,Healthcare,Positive,0,Moderate,2772271,484917,Above Average,Entry-Level,Developer,Mumbai,No,Stock Options,Limited,Stable,Moderate,2024-12-10 14:11:33.008200,Clear,324.40903333333335
Hyderabad,6,Low,Analyst,Mid-Level,4,957911,1304850,Diploma,"Python, SQL, ML",AWS Certified,69,9,Night,No,Hybrid,Accenture,Banking,Positive,1,Low,2197613,68784,Average,Senior-Level,Data Analyst,Kolkata,No,Health Insurance,Moderate,Strong,High,2025-01-20 14:11:33.008200,Ambiguous,421.25376666666665
Delhi,14,Medium,Data Scientist,Senior-Level,11,1158379,1094335,Diploma,"C++, Algorithms",AWS Certified,78,0,Day,Yes,Remote,TCS,Retail,Positive,7,High,2312878,401337,Average,Lead,Data Analyst,Munger,Yes,Stock Options,Limited,Weak,High,2024-12-24 14:11:33.008200,Ambiguous,149.09593333333333
Kolkata,34,High,Analyst,Mid-Level,4,1933865,1435354,Diploma,"Java, Spring Boot",Google Cloud Certified,56,11,Flexible,Yes,Hybrid,Cognizant,Banking,Positive,0,Low,2218317,371788,Above Average,Senior-Level,Developer,Chennai,Yes,Stock Options,Excellent,Stable,High,2025-01-04 14:11:33.008200,Clear,215.94389999999999
Bangalore,49,Medium,Analyst,Entry-Level,3,1528807,1580788,Diploma,"AWS, Docker, Kubernetes",Scrum Master,19,10,Day,Yes,Offline,Accenture,IT Services,Positive,2,Low,763114,36797,Above Average,Mid-Level,Developer,Chennai,Yes,Health Insurance,Limited,Weak,Low,2025-01-10 14:11:33.008200,Clear,27.437133333333332
Madanapalle,9,Low,Consultant,Lead,7,422775,2494945,PhD,"AWS, Docker, Kubernetes",PMP,8,14,Night,Yes,Remote,Cognizant,Healthcare,Positive,1,Low,883791,319717,Below Average,Lead,Developer,Munger,No,Flexible Hours,Limited,Weak,High,2025-01-13 14:11:33.008200,Clear,261.4597
Darbhanga,37,Medium,Project Manager,Lead,3,1269211,2390922,Bachelor's Degree,"C++, Algorithms",PMP,31,9,Flexible,Yes,Hybrid,Infosys,Banking,Positive,4,High,2070930,348264,Below Average,Lead,Developer,Darbhanga,No,Stock Options,Excellent,Weak,Low,2024-12-22 14:11:33.008200,Ambiguous,315.031
